"priority_code","priority_name","table_name","table_comment","field_order","field_name","field_comment","data_type","length","scale","nullable","default_value","dict_code","primary_key","foreign_key","foreign_key_ref","unique_key_part","remark"
"P0","核心运行层","pro_plant_master","工厂主数据表","1","plant_id","工厂ID","bigint","20","","N","","","Y","N","","N","主键，建议使用雪花ID或数据库统一ID生成策略。"
"P0","核心运行层","pro_plant_master","工厂主数据表","2","plant_code","工厂编码","varchar","64","","N","","","N","N","","Y","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","3","plant_name","工厂名称","varchar","128","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","4","plant_type","工厂类型","varchar","32","","Y","","type_dict","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","5","address","地址","varchar","500","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","6","status","状态","varchar","20","","N","0","status_dict","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","7","sort_no","排序号","integer","11","","N","0","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 int 调整为 integer。"
"P0","核心运行层","pro_plant_master","工厂主数据表","8","create_by","创建人","varchar","64","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","9","create_time","创建时间","timestamp","","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 datetime 调整为 timestamp。"
"P0","核心运行层","pro_plant_master","工厂主数据表","10","update_by","更新人","varchar","64","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_plant_master","工厂主数据表","11","update_time","更新时间","timestamp","","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 datetime 调整为 timestamp。"
"P0","核心运行层","pro_plant_master","工厂主数据表","12","del_flag","逻辑删除标识","char","1","","N","'0'","sys_del_flag","N","N","","","0存在 2删除"
"P0","核心运行层","pro_plant_master","工厂主数据表","13","remark","备注","varchar","500","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","1","workshop_id","车间ID","bigint","20","","N","","","Y","N","","N","主键，建议使用雪花ID或数据库统一ID生成策略。"
"P0","核心运行层","pro_workshop_master","车间主数据表","2","plant_id","工厂ID","bigint","20","","N","","","N","Y","pro_plant_master.plant_id","Y","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","3","workshop_code","车间编码","varchar","64","","N","","","N","N","","Y","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","4","workshop_name","车间名称","varchar","128","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","5","workshop_type","车间类型","varchar","32","","Y","","type_dict","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","6","status","状态","varchar","20","","N","0","status_dict","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","7","sort_no","排序号","integer","11","","N","0","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 int 调整为 integer。"
"P0","核心运行层","pro_workshop_master","车间主数据表","8","create_by","创建人","varchar","64","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","9","create_time","创建时间","timestamp","","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 datetime 调整为 timestamp。"
"P0","核心运行层","pro_workshop_master","车间主数据表","10","update_by","更新人","varchar","64","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_workshop_master","车间主数据表","11","update_time","更新时间","timestamp","","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 datetime 调整为 timestamp。"
"P0","核心运行层","pro_workshop_master","车间主数据表","12","del_flag","逻辑删除标识","char","1","","N","'0'","sys_del_flag","N","N","","","0存在 2删除"
"P0","核心运行层","pro_workshop_master","车间主数据表","13","remark","备注","varchar","500","","Y","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","1","line_id","产线ID","bigint","20","","N","","","Y","N","","N","主键，建议使用雪花ID或数据库统一ID生成策略。"
"P0","核心运行层","pro_production_line_master","产线主数据表","2","plant_id","工厂ID","bigint","20","","N","","","N","Y","pro_plant_master.plant_id","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","3","workshop_id","车间ID","bigint","20","","N","","","N","Y","pro_workshop_master.workshop_id","Y","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","4","line_code","产线编码","varchar","64","","N","","","N","N","","Y","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","5","line_name","产线名称","varchar","128","","N","","","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","6","line_type","产线类型","varchar","32","","Y","","type_dict","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","7","status","状态","varchar","20","","N","0","status_dict","N","N","","N","基础版字段定义，后续可按数据库规范细化。"
"P0","核心运行层","pro_production_line_master","产线主数据表","8","sort_no","排序号","integer","11","","N","0","","N","N","","N","基础版字段定义，后续可按数据库规范细化。 PostgreSQL适配：由 int 调整为 integer。"
